time,h,der(h),v,der(v),g,e
16.8,4.08767e-05,-0.271831,-0.271831,-9.81,9.81,0.7
16.9,0.00212429,-0.0635464,-0.0635464,-9.81,9.81,0.7
17,0.00269271,-0.0782257,-0.0782257,-9.81,9.81,0.7
17.1,0.000628846,0.131382,0.131382,-9.81,9.81,0.7
17.2,0.00147827,0.117351,0.117351,-9.81,9.81,0.7
17.3,0.000786042,-0.229296,-0.229296,-9.81,9.81,0.7
17.4,0.00213359,-0.042704,-0.042704,-9.81,9.81,0.7
17.5,0.00247797,-0.017982,-0.017982,-9.81,9.81,0.7
17.6,-1.36252e-05,0.160902,0.160902,-9.81,9.81,0.7
17.7,-5.25977e-05,0.181847,0.181847,-9.81,9.81,0.7
17.8,0.000222606,-0.274443,-0.274443,-9.81,9.81,0.7
17.9,0.0023512,-0.064826,-0.064826,-9.81,9.81,0.7
18,0.000192191,0.137948,0.137948,-9.81,9.81,0.7
18.1,0.00110662,0.120569,0.120569,-9.81,9.81,0.7
18.2,0.000462649,-0.231548,-0.231548,-9.81,9.81,0.7
18.3,0.00126175,-0.210578,-0.210578,-9.81,9.81,0.7
18.4,0.00228547,-0.033532,-0.033532,-9.81,9.81,0.7
18.5,-9.57229e-05,0.153282,0.153282,-9.81,9.81,0.7
18.6,-0.000248988,0.178113,0.178113,-9.81,9.81,0.7
18.7,-2.9788e-05,0.190281,0.190281,-9.81,9.81,0.7
18.8,0.00037192,-0.280346,-0.280346,-9.81,9.81,0.7
18.9,0.00260264,-0.0677187,-0.0677187,-9.81,9.81,0.7
19,0.000464175,0.136531,0.136531,-9.81,9.81,0.7
19.1,5.96376e-05,-0.242722,-0.242722,-9.81,9.81,0.7
19.2,0.000919074,-0.216053,-0.216053,-9.81,9.81,0.7
19.3,0.0016345,-0.202985,-0.202985,-9.81,9.81,0.7
19.4,0.00252686,-0.0298115,-0.0298115,-9.81,9.81,0.7
19.5,0.000119256,0.155105,0.155105,-9.81,9.81,0.7
19.6,-6.6635e-06,0.179007,0.179007,-9.81,9.81,0.7
19.7,0.000225936,-0.272455,-0.272455,-9.81,9.81,0.7
19.8,0.00232013,-0.0638518,-0.0638518,-9.81,9.81,0.7
19.9,0.000154209,0.138426,0.138426,-9.81,9.81,0.7
20,0.00107336,0.120803,0.120803,-9.81,9.81,0.7
20.1,0.000432901,-0.231712,-0.231712,-9.81,9.81,0.7
20.2,0.00123288,-0.210658,-0.210658,-9.81,9.81,0.7
20.3,0.00225799,-0.0335713,-0.0335713,-9.81,9.81,0.7
20.4,0.00264621,-0.0135069,-0.0135069,-9.81,9.81,0.7
20.5,0.000122841,0.163095,0.163095,-9.81,9.81,0.7
20.6,0.00011676,-0.261316,-0.261316,-9.81,9.81,0.7
20.7,0.00201826,-0.0583939,-0.0583939,-9.81,9.81,0.7
20.8,0.00258514,-0.075701,-0.075701,-9.81,9.81,0.7
20.9,0.000503346,0.132619,0.132619,-9.81,9.81,0.7
21,0.00136502,0.117958,0.117958,-9.81,9.81,0.7
21.1,0.000681882,-0.22972,-0.22972,-9.81,9.81,0.7
21.2,0.00203677,-0.0429119,-0.0429119,-9.81,9.81,0.7
21.3,0.00238016,-0.0180839,-0.0180839,-9.81,9.81,0.7
21.4,-0.000110719,0.160852,0.160852,-9.81,9.81,0.7
21.5,-0.00015044,0.181822,0.181822,-9.81,9.81,0.7
21.6,0.000124397,-0.274426,-0.274426,-9.81,9.81,0.7
21.7,0.00225269,-0.0648176,-0.0648176,-9.81,9.81,0.7
21.8,0.0028215,-0.0788486,-0.0788486,-9.81,9.81,0.7
21.9,0.000762052,0.131077,0.131077,-9.81,9.81,0.7
22,0.000275709,-0.238904,-0.238904,-9.81,9.81,0.7
22.1,0.00111453,-0.214182,-0.214182,-9.81,9.81,0.7
22.2,0.00220061,-0.0352982,-0.0352982,-9.81,9.81,0.7
22.3,0.00258054,-0.0143531,-0.0143531,-9.81,9.81,0.7
22.4,6.3175e-05,0.16268,0.16268,-9.81,9.81,0.7
22.5,5.08747e-05,-0.261026,-0.261026,-9.81,9.81,0.7
22.6,0.00194735,-0.0582517,-0.0582517,-9.81,9.81,0.7
22.7,0.00251419,-0.0756313,-0.0756313,-9.81,9.81,0.7
22.8,0.000431902,0.132654,0.132654,-9.81,9.81,0.7
22.9,0.00129391,0.117974,0.117974,-9.81,9.81,0.7
23,0.000611028,-0.229732,-0.229732,-9.81,9.81,0.7
23.1,0.00140032,-0.209688,-0.209688,-9.81,9.81,0.7
23.2,0.00240865,-0.033096,-0.033096,-9.81,9.81,0.7
23.3,2.43586e-05,0.153496,0.153496,-9.81,9.81,0.7
23.4,-0.000125702,0.178218,0.178218,-9.81,9.81,0.7
23.5,9.50687e-05,-0.271903,-0.271903,-9.81,9.81,0.7
23.6,0.00217971,-0.0635813,-0.0635813,-9.81,9.81,0.7
23.7,0.00274815,-0.0782428,-0.0782428,-9.81,9.81,0.7
23.8,0.000684403,0.131374,0.131374,-9.81,9.81,0.7
23.9,0.000202513,-0.239112,-0.239112,-9.81,9.81,0.7
24,0.00104246,-0.214284,-0.214284,-9.81,9.81,0.7
24.1,0.0021303,-0.0353481,-0.0353481,-9.81,9.81,0.7
24.2,0.00250999,-0.0143775,-0.0143775,-9.81,9.81,0.7
24.3,-7.20404e-06,0.162668,0.162668,-9.81,9.81,0.7
24.4,-1.9684e-05,0.182712,0.182712,-9.81,9.81,0.7
24.5,0.000268501,-0.275049,-0.275049,-9.81,9.81,0.7
24.6,0.00240757,-0.0651228,-0.0651228,-9.81,9.81,0.7
24.7,0.000250674,0.137803,0.137803,-9.81,9.81,0.7
24.8,0.00116366,0.120497,0.120497,-9.81,9.81,0.7
24.9,0.000518623,-0.231498,-0.231498,-9.81,9.81,0.7
25,0.00131745,-0.210553,-0.210553,-9.81,9.81,0.7
25.1,0.00234075,-0.03352,-0.03352,-9.81,9.81,0.7
25.2,-4.05265e-05,0.153288,0.153288,-9.81,9.81,0.7
25.3,-0.000193704,0.178116,0.178116,-9.81,9.81,0.7
25.4,2.55396e-05,-0.271831,-0.271831,-9.81,9.81,0.7
25.5,0.00210895,-0.0635464,-0.0635464,-9.81,9.81,0.7
25.6,0.00267738,-0.0782257,-0.0782257,-9.81,9.81,0.7
25.7,0.000613508,0.131382,0.131382,-9.81,9.81,0.7
25.8,0.00146293,0.117351,0.117351,-9.81,9.81,0.7
25.9,0.000770705,-0.229296,-0.229296,-9.81,9.81,0.7
26,0.00211825,-0.042704,-0.042704,-9.81,9.81,0.7
26.1,0.00246264,-0.017982,-0.017982,-9.81,9.81,0.7
26.2,-2.89624e-05,0.160902,0.160902,-9.81,9.81,0.7
26.3,-6.79348e-05,0.181847,0.181847,-9.81,9.81,0.7
26.4,0.000207269,-0.274443,-0.274443,-9.81,9.81,0.7
26.5,0.00233586,-0.064826,-0.064826,-9.81,9.81,0.7
26.6,0.000176854,0.137948,0.137948,-9.81,9.81,0.7
26.7,0.00109128,0.120569,0.120569,-9.81,9.81,0.7
26.8,0.000447312,-0.231548,-0.231548,-9.81,9.81,0.7
26.9,0.00124641,-0.210578,-0.210578,-9.81,9.81,0.7
27,0.00227013,-0.033532,-0.033532,-9.81,9.81,0.7
27.1,0.00265854,-0.0134877,-0.0134877,-9.81,9.81,0.7
27.2,0.000135032,0.163104,0.163104,-9.81,9.81,0.7
27.3,0.000129092,-0.261323,-0.261323,-9.81,9.81,0.7
27.4,0.00203071,-0.0583972,-0.0583972,-9.81,9.81,0.7
27.5,0.00259759,-0.0757026,-0.0757026,-9.81,9.81,0.7
27.6,0.000515805,0.132619,0.132619,-9.81,9.81,0.7
27.7,0.00137747,0.117957,0.117957,-9.81,9.81,0.7
27.8,0.000694328,-0.22972,-0.22972,-9.81,9.81,0.7
27.9,0.00204921,-0.0429118,-0.0429118,-9.81,9.81,0.7
28,0.0023926,-0.0180838,-0.0180838,-9.81,9.81,0.7
28.1,-9.82777e-05,0.160852,0.160852,-9.81,9.81,0.7
28.2,-0.000137999,0.181822,0.181822,-9.81,9.81,0.7
28.3,0.000136838,-0.274426,-0.274426,-9.81,9.81,0.7
28.4,0.00226513,-0.0648176,-0.0648176,-9.81,9.81,0.7
28.5,0.00283394,-0.0788486,-0.0788486,-9.81,9.81,0.7
28.6,0.000774494,0.131077,0.131077,-9.81,9.81,0.7
28.7,0.000288151,-0.238904,-0.238904,-9.81,9.81,0.7
28.8,0.00112697,-0.214182,-0.214182,-9.81,9.81,0.7
28.9,0.00221305,-0.0352982,-0.0352982,-9.81,9.81,0.7
29,0.00259298,-0.0143531,-0.0143531,-9.81,9.81,0.7
29.1,7.56169e-05,0.16268,0.16268,-9.81,9.81,0.7
29.2,6.33166e-05,-0.261026,-0.261026,-9.81,9.81,0.7
29.3,0.0019598,-0.0582517,-0.0582517,-9.81,9.81,0.7
29.4,0.00252663,-0.0756313,-0.0756313,-9.81,9.81,0.7
29.5,0.000444344,0.132654,0.132654,-9.81,9.81,0.7
29.6,0.00130636,0.117974,0.117974,-9.81,9.81,0.7
29.7,0.00062347,-0.229732,-0.229732,-9.81,9.81,0.7
29.8,0.00141276,-0.209688,-0.209688,-9.81,9.81,0.7
29.9,0.00242109,-0.033096,-0.033096,-9.81,9.81,0.7
30,3.68005e-05,0.153496,0.153496,-9.81,9.81,0.7
